ticker,removal_date,delisting,reason,rows,last_date,window_start,window_end,coverage,status,overrun_days
CAM,2016-04-04,True,Schlumberger acquired Cameron.,240,2026-09-18,2005-01-01,2016-04-04,0.0,ticker reused by another company,3819.0
CBE,2012-12-03,True,Cooper was acquired by Eaton Corp. (ETN),0,,2005-01-01,2012-12-03,0.0,no data,
CCE,2016-05-31,True,Coca-Cola Enterprises merged with European bottlers.,0,,2005-01-01,2016-05-31,0.0,no data,
CDAY,2024-02-01,False,Ceridian changed its ticker symbol from CDAY to DAY.,0,,2021-09-20,2024-02-01,0.0,no data,
CE,2025-03-24,False,Market capitalization changes.,5449,2026-09-18,2018-12-24,2025-03-24,0.9625996321275291,ok,
CELG,2019-11-21,True,Bristol-Myers Squibb acquired Celgene.,0,,2005-01-01,2019-11-21,0.0,no data,
CEPH,2011-10-14,True,Cephalon was acquired by Teva Pharmaceutical Industries.,0,,2005-01-01,2011-10-14,0.0,no data,
CERN,2022-06-08,True,Oracle acquired Cerner.,0,,2010-04-29,2022-06-08,0.0,no data,
CFC,2008-07-01,False,Market capitalization changes.,0,,2005-01-01,2008-07-01,0.0,no data,
CFN,2015-03-18,True,Carefusion was acquired by Becton Dickinson.,0,,2005-01-01,2015-03-18,0.0,no data,
CHK,2018-03-19,False,Market capitalization changes.,0,,2005-01-01,2018-03-19,0.0,no data,
CLF,2014-04-02,False,Market capitalization changes.,5462,2026-09-18,2009-12-18,2014-04-02,0.9633601429848079,ok,
CMA,2024-06-24,False,Market capitalization changes.,0,,2005-01-01,2024-06-24,0.0,no data,
CMCSK,2015-12-15,False,CMCSK shares were no longer listed.,0,,2015-09-18,2015-12-15,0.0,no data,
CNX,2016-03-04,False,nan,5462,2026-09-18,2005-01-01,2016-03-04,0.9646655231560892,ok,
COL,2018-12-03,True,UTX acquired Rockwell Collins.,0,,2005-01-01,2018-12-03,0.0,no data,
COTY,2020-09-21,False,Market capitalization changes.,3337,2026-09-18,2016-09-30,2020-09-21,0.9643201542912246,ok,
COV,2015-01-27,True,Covidien was acquired by Medtronic.,0,,2005-01-01,2015-01-27,0.0,no data,
CPB,2026-06-22,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2026-06-22,0.96411355115158,ok,
CPGX,2016-07-05,True,CPGX was acquired by TRP.,0,,2015-07-02,2016-07-05,0.0,no data,
CPRI,2020-05-12,False,Market capitalization changes.,3710,2026-09-18,2005-01-01,2020-05-12,0.5275767407037684,ok,
CPWR,2011-12-31,False,Market capitalization changes.,4976,2026-09-16,2005-01-01,2011-12-31,0.7008219178082192,ok,
CSC,2015-12-01,False,CSC completed the corporate spin-off off CSRA.,0,,2005-01-01,2015-12-01,0.0,no data,
CSRA,2018-04-04,True,General Dynamics acquired CSRA.,27,2026-09-18,2015-12-01,2018-04-04,0.0,ticker reused by another company,3089.0
CTLT,2024-12-23,True,Novo Holdings A/S acquired Catalent.,0,,2020-09-21,2024-12-23,0.0,no data,
CTRA,2026-05-07,True,Devon Energy acquired Coterra Energy.,0,,2005-01-01,2026-05-07,0.0,no data,
CTX,2009-08-19,True,Centex was acquired by Pulte Homes.,0,,2005-01-01,2009-08-19,0.0,no data,
CTXS,2022-10-03,True,Vista Equity Partners acquired Citrix Systems.,0,,2005-01-01,2022-10-03,0.0,no data,
CVC,2016-06-22,True,Cablevision Systems was acquired by Altice.,0,,2010-12-17,2016-06-22,0.0,no data,
CVG,2009-12-18,False,Market capitalization changes.,0,,2005-01-01,2009-12-18,0.0,no data,
CVH,2013-05-08,True,CVH was acquired by Aetna.,0,,2005-01-01,2013-05-08,0.0,no data,
CXO,2021-01-21,True,ConocoPhillips acquired Concho Resources.,0,,2016-02-22,2021-01-21,0.0,no data,
CZR,2025-09-22,False,Market capitalization changes.,3016,2026-09-18,2021-03-22,2025-09-22,0.9625850340136054,ok,
DAY,2026-02-09,True,Thoma Bravo L.P. acquired Dayforce.,0,,2024-02-01,2026-02-09,0.0,no data,
DF,2013-05-23,False,DF was too small after spinoff of White Wave Foods.,0,,2005-01-01,2013-05-23,0.0,no data,
DFS,2025-05-19,True,Capital One acquired Discover Financial.,0,,2007-07-02,2025-05-19,0.0,no data,
DISCA,2022-04-11,True,WarnerMedia and Discovery merged to create Warner Bros. Discovery.,0,,2005-01-01,2022-04-11,0.0,no data,
DISCK,2022-04-11,True,WarnerMedia and Discovery merged to create Warner Bros. Discovery.,0,,2014-08-06,2022-04-11,0.0,no data,
DISH,2023-06-20,False,Market capitalization changes.,0,,2017-03-13,2023-06-20,0.0,no data,
DJ,2007-12-13,True,Dow Jones was acquired by News Corporation.,0,,2005-01-01,2007-12-13,0.0,no data,
DNB,2017-04-05,True,Gartner acquired CEB.,0,,2005-01-01,2017-04-05,0.0,no data,
DNR,2015-03-23,False,Market capitalization changes.,0,,2005-01-01,2015-03-23,0.0,no data,
DO,2016-09-30,True,Siris Capital Group acquired Polycom.,0,,2005-01-01,2016-09-30,0.0,no data,
DPS,2018-07-02,True,DPS was acquired by Keurig Green Mountain.,0,,2005-01-01,2018-07-02,0.0,no data,
DRE,2022-10-03,True,Prologis acquired Duke Realty.,0,,2017-07-26,2022-10-03,0.0,no data,
DTV,2015-07-29,True,DirecTV was acquired by AT&T.,0,,2005-01-01,2015-07-29,0.0,no data,
DV,2012-10-01,True,Tyco spin-off merged with Pentair.,1360,2026-09-18,2005-01-01,2012-10-01,0.0,ticker reused by another company,5100.0
DWDP,2019-06-03,False,DWDP changed to DD after spinning off Corteva.,0,,2017-09-01,2019-06-03,0.0,no data,
DXC,2023-10-03,False,Market capitalization changes.,5462,2026-09-18,2017-04-04,2023-10-03,0.964622641509434,ok,
DYN,2009-12-18,False,Market capitalization changes.,1508,2026-09-18,2005-01-01,2009-12-18,0.0,too little of the membership window,
EA,2026-08-05,True,"An investor consortium comprising Saudi Arabia's Public Investment Fund (PIF), Silver Lake, and Affinity Partners acquired Electronic Arts.",1,2026-08-04,2005-01-01,2026-08-05,0.00017752529735487306,too little of the membership window,
EK,2010-12-17,False,Market capitalization changes.,0,,2005-01-01,2010-12-17,0.0,no data,
EMC,2016-09-08,True,Dell acquired EMC.,840,2026-09-18,2005-01-01,2016-09-08,0.0,ticker reused by another company,3662.0
EMN,2025-11-04,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2025-11-04,0.9645024829869413,ok,
ENDP,2017-03-02,True,Regency Centers acquired EQY.,0,,2015-01-27,2017-03-02,0.0,no data,
ENPH,2025-09-22,False,Market capitalization changes.,3638,2026-09-18,2021-01-07,2025-09-22,0.9625407166123778,ok,
EP,2012-05-17,True,El Paso was acquired by Kinder Morgan.,5462,2026-09-18,2005-01-01,2012-05-17,0.9656964656964657,ticker reused by another company,5237.0
EPAM,2026-06-02,False,Market capitalization changes.,3674,2026-09-18,2021-12-14,2026-06-02,0.9605488850771869,ok,
ESRX,2018-12-24,True,Cigna acquired Express Scripts.,0,,2005-01-01,2018-12-24,0.0,no data,
ESV,2016-03-30,True,Centene acquired Health Net.,0,,2012-07-31,2016-03-30,0.0,no data,
ETFC,2020-10-07,True,Morgan Stanley acquired E*Trade.,0,,2005-01-01,2020-10-07,0.0,no data,
ETSY,2024-09-23,False,Market capitalization changes.,2874,2026-09-18,2020-09-21,2024-09-23,0.9636711281070746,ok,
EVHC,2018-10-11,True,EVHC was acquired by KKR.,0,,2016-12-02,2018-10-11,0.0,no data,
FBHS,2022-12-19,False,Market capitalization changes.,0,,2016-06-22,2022-12-19,0.0,no data,
FDC,2007-09-26,True,FDC was acquired by KKR.,0,,2005-01-01,2007-09-26,0.0,no data,
FDO,2015-07-08,True,Family Dollar was acquired.,0,,2005-01-01,2015-07-08,0.0,no data,
FHN,2013-06-21,False,Pfizer completed the corporate spin-off of Zoetis.,5462,2026-09-18,2005-01-01,2013-06-21,0.9647058823529412,ok,
FII,2013-01-02,False,Abbott Labs completed the corporate spin-off of AbbVie.,0,,2005-01-01,2013-01-02,0.0,no data,
FL,2019-08-09,False,Market capitalization changes.,0,,2016-04-04,2019-08-09,0.0,no data,
FLIR,2021-05-14,True,Teledyne Technologies acquired FLIR Systems.,0,,2005-01-01,2021-05-14,0.0,no data,
FLR,2019-06-03,False,DowDuPont completed the corporate spin-off of Corteva.,5462,2026-09-18,2005-01-01,2019-06-03,0.9646370646104759,ok,
FLS,2021-03-22,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2021-03-22,0.964783739068778,ok,
FLT,2024-03-25,False,FLEETCOR Technologies changed its name to Corpay.,0,,2018-06-20,2024-03-25,0.0,no data,
FMC,2025-03-24,False,Market capitalization changes.,5462,2026-09-18,2009-08-19,2025-03-24,0.9641189481445073,ok,
FNM,2008-09-12,False,Market capitalization changes.,0,,2005-01-01,2008-09-12,0.0,no data,
FOSL,2016-01-05,True,Willis Holdings merged with Towers Watson and was renamed Willis Towers Watson.,5462,2026-09-18,2012-04-03,2016-01-05,0.963302752293578,ticker reused by another company,3909.0
FRC,2023-05-04,False,The Federal Deposit Insurance Corporation (FDIC) placed First Republic Bank into receivership.,0,,2019-01-02,2023-05-04,0.0,no data,
FRE,2008-09-12,False,Market capitalization changes.,0,,2005-01-01,2008-09-12,0.0,no data,
FRX,2014-07-01,True,Actavis acquired Forest Laboratories.,0,,2005-01-01,2014-07-01,0.0,no data,
FTI,2021-02-12,False,Corporate spin-off of Technip Energies.,5462,2026-09-18,2009-06-05,2021-02-12,0.9649295313012127,ok,
FTR,2017-03-20,False,Market capitalization changes.,0,,2005-01-01,2017-03-20,0.0,no data,
GAS,2016-07-01,True,AGL Resources was acquired by Southern Company.,0,,2005-01-01,2016-07-01,0.0,no data,
GENZ,2011-04-01,True,Genzyme was acquired by Sanofi Aventis.,4693,2026-09-18,2005-01-01,2011-04-01,0.4938650306748466,ticker reused by another company,5649.0
GGP,2018-08-28,True,GGP was acquired by Brookfield Property Partners.,0,,2013-12-10,2018-08-28,0.0,no data,
GHC,2014-09-20,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2014-09-20,0.9648915187376725,ok,
GLK,2005-07-01,True,Great Lakes Chemical was acquired by Crompton Corp.,0,,2005-01-01,2005-07-01,0.0,no data,
GMCR,2016-03-07,True,JAB Holding Company acquired Keurig Green Mountain.,0,,2014-03-21,2016-03-07,0.0,no data,
GME,2016-04-25,True,Global Payments acquired Heartland Payment Systems.,5462,2026-09-18,2007-12-13,2016-04-25,0.9642693540998626,ticker reused by another company,3798.0
GNW,2015-11-18,False,GE completed the corporate spin-off of Synchrony Financial.,5462,2026-09-18,2005-01-01,2015-11-18,0.9654686398872445,ok,
GPS,2022-02-03,False,Market capitalization changes.,0,,2005-01-01,2022-02-03,0.0,no data,
GR,2012-07-31,True,Goodrich was acquired by United Technologies.,3194,2018-02-22,2005-01-01,2012-07-31,0.9453717754172989,ticker reused by another company,2032.0
GT,2019-02-27,True,Wabtec acquired GE transportation business,5462,2026-09-18,2005-01-01,2019-02-27,0.9645274844300027,ticker reused by another company,2760.0
HAR,2017-03-16,True,Samsung Electronics acquired Harman International Industries.,0,,2005-01-01,2017-03-16,0.0,no data,
HBI,2021-12-20,False,Market capitalization changes.,0,,2015-03-23,2021-12-20,0.0,no data,
HCBK,2015-11-02,False,HPQ completed the corporate spin-off of Hewlett Packard Enterprise.,0,,2005-01-01,2015-11-02,0.0,no data,
HES,2025-07-23,True,Chevron acquired Hess.,0,,2005-01-01,2025-07-23,0.0,no data,
HFC,2021-06-04,False,Market capitalization changes.,0,,2018-06-18,2021-06-04,0.0,no data,
HNZ,2013-06-06,True,HNZ was acquired by a consortium.,0,,2005-01-01,2013-06-06,0.0,no data,
HOG,2020-06-22,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2020-06-22,0.964816650148662,ok,
HOLX,2026-04-09,True,Blackstone Inc. and TPG Inc. acquired Hologic.,0,,2016-03-30,2026-04-09,0.0,no data,
HOT,2016-09-22,True,MAR acquired Starwood Hotels,0,,2005-01-01,2016-09-22,0.0,no data,
HP,2020-05-22,False,Market capitalization changes.,5462,2026-09-18,2010-02-26,2020-05-22,0.9651815799326096,ok,
HRB,2020-09-21,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2020-09-21,0.9648866130212144,ok,
HSP,2015-09-02,True,Hospira was acquired.,0,,2005-01-01,2015-09-02,0.0,no data,
IGT,2014-06-20,False,Market capitalization changes.,0,,2005-01-01,2014-06-20,0.0,no data,
ILMN,2024-06-24,False,Market capitalization changes.,5462,2026-09-18,2015-11-19,2024-06-24,0.9634418189924209,ok,
INFO,2022-03-02,True,S&P Global acquired IHS Markit.,486,2026-09-18,2017-06-02,2022-03-02,0.0,ticker reused by another company,1661.0
IPG,2025-11-28,True,Omnicom Group acquired (The) Interpublic Group.,0,,2005-01-01,2025-11-28,0.0,no data,
IPGP,2022-06-21,False,Market capitalization changes.,4971,2026-09-18,2018-03-07,2022-06-21,0.9651785714285714,ok,
ITT |,2011-10-31,False,ITT Corp. completed the corporate spin-off of Xylem.,0,,2005-01-01,2011-10-31,0.0,no data,
JCP |,2013-12-02,False,Ingersoll Rand completed the corporate spin-off of Allegion.,0,,2005-01-01,2013-12-02,0.0,no data,
JDSU,2013-12-23,False,Market capitalization changes.,0,,2005-01-01,2013-12-23,0.0,no data,
JEF,2019-09-26,False,SPB completed the corporate spin-off of Jefferies Financial Group.,5462,2026-09-18,2005-01-01,2019-09-26,0.9648803329864725,ok,
JNPR,2025-07-09,True,Hewlett Packard Enterprise acquired Juniper Networks.,0,,2006-06-02,2025-07-09,0.0,no data,
JNS,2011-11-18,False,Market capitalization changes.,0,,2005-01-01,2011-11-18,0.0,no data,
JNY,2009-03-03,False,Market capitalization changes.,0,,2005-01-01,2009-03-03,0.0,no data,
JOY,2015-10-07,False,Market capitalization changes.,0,,2005-01-01,2015-10-07,0.0,no data,
JWN,2020-06-22,False,Market capitalization changes.,0,,2005-01-01,2020-06-22,0.0,no data,
K,2025-12-11,True,Mars Inc. acquired Kellanova.,0,,2005-01-01,2025-12-11,0.0,no data,
KBH,2009-12-18,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2009-12-18,0.9660231660231661,ok,
KFT,2012-10-02,False,Old Kraft Foods was renamed Mondelez.,0,,2007-03-30,2012-10-02,0.0,no data,
KG,2010-12-17,True,King was acquired by Pfizer.,4622,2026-09-18,2005-01-01,2010-12-17,0.4257234726688103,ticker reused by another company,5754.0
KMX,2025-10-31,False,Market capitalization changes.,5462,2026-09-18,2010-06-28,2025-10-31,0.964294631710362,ok,
KRFT,2015-07-06,True,Kraft merged with Heinz.,0,,2012-10-02,2015-07-06,0.0,no data,
KSE,2007-08-24,True,KeySpan was acquired by National Grid plc.,0,,2005-01-01,2007-08-24,0.0,no data,
KSS,2020-09-21,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2020-09-21,0.9648866130212144,ok,
KSU,2021-12-14,True,Canadian Pacific acquired Kansas City Southern.,0,,2013-05-23,2021-12-14,0.0,no data,
LEG,2021-12-20,False,Market capitalization changes.,5,2026-08-27,2005-01-01,2021-12-20,0.0,too little of the membership window,
LEH,2008-09-16,True,Lehman Brothers filed for bankruptcy.,0,,2005-01-01,2008-09-16,0.0,no data,
LIFE,2014-01-24,True,Life Technologies was acquired by Thermo Fisher Scientific.,161,2026-09-18,2005-01-01,2014-01-24,0.0,ticker reused by another company,4620.0
LKQ,2025-12-22,False,Market capitalization changes.,5462,2026-09-18,2016-05-23,2025-12-22,0.9640143942423031,ok,
LLL,2019-07-01,True,L3 was acquired by Harris Corporation.,0,,2005-01-01,2019-07-01,0.0,no data,
LLTC,2017-03-13,True,Analog Devices acquired Linear Technology.,0,,2005-01-01,2017-03-13,0.0,no data,
LM,2016-12-02,False,Market capitalization changes.,0,,2005-01-01,2016-12-02,0.0,no data,
LNC,2023-09-18,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2023-09-18,0.9647613194017619,ok,
LO,2015-06-11,True,Lorillard was acquired.,0,,2008-06-10,2015-06-11,0.0,no data,
LSI,2014-05-08,True,Avago acquired LSI.,0,,2005-01-01,2014-05-08,0.0,no data,
LUMN,2023-03-20,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2023-03-20,0.9648495053672911,ok,
LVLT,2017-10-13,True,CenturyLink acquired Level 3 Communications.,0,,2014-11-05,2017-10-13,0.0,no data,
LW,2026-03-23,False,Market capitalization changes.,2476,2026-09-18,2018-12-03,2026-03-23,0.9622245540398741,ok,
LXK,2012-10-01,False,Tyco completed the corporate spin-off of ADT.,0,,2005-01-01,2012-10-01,0.0,no data,
M,2020-04-06,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2020-04-06,0.964832956543582,ok,
MAC,2019-12-23,False,Market capitalization changes.,5462,2026-09-18,2013-05-08,2019-12-23,0.9658762290341237,ok,
MAT,2019-06-07,True,Merger of Bemis and Amcor; Bemis was the surviving entity.,5462,2026-09-18,2005-01-01,2019-06-07,0.9646746347941567,ticker reused by another company,2660.0
MBC,2022-12-19,False,Market capitalization changes.,946,2026-09-18,2022-12-15,2022-12-19,1.0,ok,
MBI,2009-12-18,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2009-12-18,0.9660231660231661,ok,
MDP,2011-01-03,False,Motorola completed the corporate spin-off of Motorola Mobility.,0,,2005-01-01,2011-01-03,0.0,no data,
MEE,2011-06-01,True,Alpha Natural Resources acquired Massey Energy.,0,,2008-06-23,2011-06-01,0.0,no data,
MFE,2011-02-28,True,McAfee was acquired by Intel.,0,,2005-01-01,2011-02-28,0.0,no data,
MHK,2025-12-22,False,Market capitalization changes.,5462,2026-09-18,2013-12-23,2025-12-22,0.963909294155222,ok,
MHS,2012-04-03,True,Medco was acquired by Express Scripts.,0,,2005-01-01,2012-04-03,0.0,no data,
MI,2011-07-05,True,Marshall & Ilsley was acquired by Bank of Montreal.,2718,2026-09-18,2005-01-01,2011-07-05,0.0,ticker reused by another company,5554.0
MIL,2010-07-14,True,Millipore was acquired by Merck KGaA.,0,,2005-01-01,2010-07-14,0.0,no data,
MJN,2017-06-19,True,Reckitt Benckiser acquired Mead Johnson Nutrition.,0,,2009-12-18,2017-06-19,0.0,no data,
MKTX,2025-09-22,False,Market capitalization changes.,5462,2026-09-18,2019-07-01,2025-09-22,0.9630996309963099,ok,
MMI,2012-05-21,True,Motorola Mobility was acquired by Google.,3239,2026-09-18,2011-01-03,2012-05-21,0.0,ticker reused by another company,5233.0
MNK,2017-07-26,False,Market capitalization changes.,0,,2014-08-18,2017-07-26,0.0,no data,
MOH,2026-03-23,False,Market capitalization changes.,5462,2026-09-18,2022-03-02,2026-03-23,0.9612842304060434,ok,
MOLX,2013-12-10,True,MOLX was acquired by Koch Industries.,0,,2005-01-01,2013-12-10,0.0,no data,
MON,2018-06-07,True,Bayer acquired Monsanto.,0,,2005-01-01,2018-06-07,0.0,no data,
MRO,2024-11-26,True,ConocoPhillips acquired Marathon Oil.,0,,2005-01-01,2024-11-26,0.0,no data,
MTCH,2026-03-23,False,Market capitalization changes.,5462,2026-09-18,2021-09-20,2026-03-23,0.9617346938775511,ok,
MUR,2017-07-26,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2017-07-26,0.9649176327028676,ok,
MWW,2011-12-16,False,Market capitalization changes.,0,,2005-01-01,2011-12-16,0.0,no data,
MXIM,2021-08-30,True,Analog Devices acquired Maxim Integrated Products.,0,,2005-01-01,2021-08-30,0.0,no data,
NAVI,2018-06-05,True,Westar Energy acquired Great Plains Energy and changed name to Evergy.,3124,2026-09-18,2014-05-01,2018-06-05,0.9653882132834425,ticker reused by another company,3027.0
NBL,2020-10-12,True,Chevron acquired Noble Energy.,0,,2005-01-01,2020-10-12,0.0,no data,
NBR,2015-03-23,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2015-03-23,0.9647411852963241,ok,
NCR,2007-10-01,False,NCR Corporation completed the corporate spin-off of Teradata.,0,,2005-01-01,2007-10-01,0.0,no data,
NE,2015-07-20,False,eBay completed the corporate spin-off of PayPal.,1326,2026-09-18,2005-01-01,2015-07-20,0.0,too little of the membership window,
NFX,2019-02-15,True,Encana acquired Newfield Exploration.,53,2026-09-18,2010-12-17,2019-02-15,0.0,ticker reused by another company,2772.0
NKTR,2019-10-03,False,Market capitalization changes.,5462,2026-09-18,2018-03-19,2019-10-03,0.9653465346534653,ok,
NLSN,2022-10-12,True,Elliott Investment Management acquired Nielsen Holdings.,0,,2013-07-08,2022-10-12,0.0,no data,
NOV,2021-09-20,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2021-09-20,0.9649163036000917,ok,
NOVL,2011-04-27,True,Novell was acquired by private equity firms.,0,,2005-01-01,2011-04-27,0.0,no data,
NSM,2011-09-23,True,National Semi was acquired by Texas Instruments.,0,,2005-01-01,2011-09-23,0.0,no data,
NVLS,2012-06-05,True,Novellus Systems was acquired by Lam Research.,0,,2005-01-01,2012-06-05,0.0,no data,
NWL,2023-09-18,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2023-09-18,0.9647613194017619,ok,
NYT,2010-12-17,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2010-12-17,0.9659163987138264,ok,
